datetime,Date,Hour,Station,demand,temp,rhum,prcp,wspd,pres,cldc,coco,day_of_week,is_weekend,is_public_holiday,is_major_city_event,is_working_day_proxy,is_day_before_public_holiday,is_day_after_public_holiday,demand_lag_1h,demand_lag_2h,demand_lag_3h,demand_lag_24h,demand_lag_168h,target_next_hour,rolling_mean_3h,rolling_mean_6h,rolling_mean_24h,day_of_week_num,month_num,hour_sin,hour_cos
2025-08-12 03:00:00,2025-08-12,3,Huskur Road,0,21.6,91,0.0,5.4,1011.9,7,3.0,Tuesday,0,0,0,1,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,16.142857142857142,68.96,1,8,0.7071067811865476,0.7071067811865476
2025-08-12 04:00:00,2025-08-12,4,Huskur Road,0,22.0,79,0.0,21.6,1011.7,8,3.0,Tuesday,0,0,0,1,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,68.96,1,8,0.8660254037844386,0.5000000000000001
2025-08-12 05:00:00,2025-08-12,5,Huskur Road,0,24.1,68,0.0,22.7,1011.2,8,3.0,Tuesday,0,0,0,1,0,0,0.0,0.0,0.0,0.0,,17.0,0.0,0.0,68.96,1,8,0.9659258262890683,0.25881904510252074
2025-08-12 06:00:00,2025-08-12,6,Huskur Road,17,23.8,79,0.0,5.4,1010.8,7,3.0,Tuesday,0,0,0,1,0,0,0.0,0.0,0.0,17.0,,74.0,4.25,2.4285714285714284,69.64,1,8,1.0,6.123233995736766e-17
2025-08-12 07:00:00,2025-08-12,7,Huskur Road,74,25.3,62,0.0,19.8,1010.1,8,3.0,Tuesday,0,0,0,1,0,0,17.0,0.0,0.0,57.0,,165.0,22.75,13.0,71.92,1,8,0.9659258262890683,-0.25881904510252063
2025-08-12 08:00:00,2025-08-12,8,Huskur Road,165,24.8,65,0.0,18.4,1009.2,8,3.0,Tuesday,0,0,0,1,0,0,74.0,17.0,0.0,98.0,,138.0,64.0,36.57142857142857,76.24,1,8,0.8660254037844387,-0.4999999999999998
2025-08-12 09:00:00,2025-08-12,9,Huskur Road,138,25.0,77,0.0,11.2,1007.7,7,3.0,Tuesday,0,0,0,1,0,0,165.0,74.0,17.0,91.0,,108.0,98.5,56.285714285714285,77.84,1,8,0.7071067811865476,-0.7071067811865475
2025-08-12 10:00:00,2025-08-12,10,Huskur Road,108,24.8,71,0.2,18.0,1006.7,8,7.0,Tuesday,0,0,0,1,0,0,138.0,165.0,74.0,82.0,,106.0,121.25,71.71428571428571,78.52,1,8,0.49999999999999994,-0.8660254037844387
2025-08-12 11:00:00,2025-08-12,11,Huskur Road,106,23.7,75,1.7,20.5,1007.0,8,9.0,Tuesday,0,0,0,1,0,0,108.0,138.0,165.0,91.0,,86.0,129.25,86.85714285714286,79.48,1,8,0.258819045102521,-0.9659258262890682
2025-08-12 12:00:00,2025-08-12,12,Huskur Road,86,24.8,78,0.0,9.4,1007.0,5,3.0,Tuesday,0,0,0,1,0,0,106.0,108.0,138.0,119.0,,121.0,109.5,99.14285714285714,79.28,1,8,1.2246467991473532e-16,-1.0
2025-08-12 13:00:00,2025-08-12,13,Huskur Road,121,22.4,82,0.0,16.6,1008.0,8,3.0,Tuesday,0,0,0,1,0,0,86.0,106.0,108.0,91.0,,95.0,105.25,114.0,79.36,1,8,-0.2588190451025208,-0.9659258262890683
2025-08-12 14:00:00,2025-08-12,14,Huskur Road,95,20.6,91,2.6,16.2,1009.9,8,9.0,Tuesday,0,0,0,1,0,0,121.0,86.0,106.0,98.0,,95.0,102.0,117.0,79.52,1,8,-0.4999999999999997,-0.8660254037844388
2025-08-12 15:00:00,2025-08-12,15,Huskur Road,95,22.0,88,0.5,9.4,1011.2,7,8.0,Tuesday,0,0,0,1,0,0,95.0,121.0,86.0,95.0,,166.0,99.25,107.0,79.4,1,8,-0.7071067811865471,-0.7071067811865479
2025-08-12 16:00:00,2025-08-12,16,Huskur Road,166,19.8,93,0.5,15.1,1012.0,8,8.0,Tuesday,0,0,0,1,0,0,95.0,95.0,121.0,128.0,,221.0,119.25,111.0,82.24,1,8,-0.8660254037844385,-0.5000000000000004
2025-08-12 17:00:00,2025-08-12,17,Huskur Road,221,19.7,96,1.1,15.1,1012.1,8,9.0,Tuesday,0,0,0,1,0,0,166.0,95.0,95.0,131.0,,247.0,144.25,127.14285714285714,85.96,1,8,-0.9659258262890683,-0.25881904510252063
2025-08-12 18:00:00,2025-08-12,18,Huskur Road,247,21.2,93,1.4,7.6,1011.3,7,9.0,Tuesday,0,0,0,1,0,0,221.0,166.0,95.0,199.0,,172.0,182.25,147.28571428571428,90.6,1,8,-1.0,-1.8369701987210297e-16
2025-08-12 19:00:00,2025-08-12,19,Huskur Road,172,19.5,98,1.0,18.7,1010.3,8,9.0,Tuesday,0,0,0,1,0,0,247.0,221.0,166.0,212.0,,68.0,201.5,159.57142857142858,89.52,1,8,-0.9659258262890684,0.2588190451025203
2025-08-12 20:00:00,2025-08-12,20,Huskur Road,68,19.4,98,1.0,16.6,1009.3,8,9.0,Tuesday,0,0,0,1,0,0,172.0,247.0,221.0,102.0,,50.0,177.0,152.0,83.76,1,8,-0.8660254037844386,0.5000000000000001
2025-08-12 21:00:00,2025-08-12,21,Huskur Road,50,20.2,96,0.4,7.6,1008.6,7,8.0,Tuesday,0,0,0,1,0,0,68.0,172.0,247.0,71.0,,28.0,134.25,145.57142857142858,81.68,1,8,-0.7071067811865477,0.7071067811865474
2025-08-12 22:00:00,2025-08-12,22,Huskur Road,28,19.3,98,1.2,18.4,1008.2,8,9.0,Tuesday,0,0,0,1,0,0,50.0,68.0,172.0,42.0,,0.0,79.5,136.0,79.96,1,8,-0.5000000000000004,0.8660254037844384
2025-08-12 23:00:00,2025-08-12,23,Huskur Road,0,19.2,98,1.5,17.3,1008.3,8,9.0,Tuesday,0,0,0,1,0,0,28.0,50.0,68.0,0.0,,0.0,36.5,112.28571428571429,78.28,1,8,-0.25881904510252157,0.9659258262890681
2025-08-13 00:00:00,2025-08-13,0,Huskur Road,0,20.0,96,0.3,7.6,1008.6,7,8.0,Wednesday,0,0,0,1,0,0,0.0,28.0,50.0,0.0,,0.0,19.5,80.71428571428571,78.28,2,8,0.0,1.0
2025-08-13 01:00:00,2025-08-13,1,Huskur Road,0,19.4,97,0.8,18.4,1009.2,8,8.0,Wednesday,0,0,0,1,0,0,0.0,0.0,28.0,0.0,,0.0,7.0,45.42857142857143,78.28,2,8,0.25881904510252074,0.9659258262890683
2025-08-13 02:00:00,2025-08-13,2,Huskur Road,0,19.7,97,0.3,18.0,1009.5,8,8.0,Wednesday,0,0,0,1,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,20.857142857142858,78.28,2,8,0.49999999999999994,0.8660254037844387
2025-08-13 03:00:00,2025-08-13,3,Huskur Road,0,20.4,98,0.8,5.4,1010.1,7,8.0,Wednesday,0,0,0,1,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,11.142857142857142,78.28,2,8,0.7071067811865476,0.7071067811865476
2025-08-13 04:00:00,2025-08-13,4,Huskur Road,0,20.4,94,1.4,17.6,1010.2,8,9.0,Wednesday,0,0,0,1,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,78.28,2,8,0.8660254037844386,0.5000000000000001
2025-08-13 05:00:00,2025-08-13,5,Huskur Road,0,20.4,95,2.9,19.4,1010.3,8,9.0,Wednesday,0,0,0,1,0,0,0.0,0.0,0.0,0.0,,21.0,0.0,0.0,78.28,2,8,0.9659258262890683,0.25881904510252074
2025-08-13 06:00:00,2025-08-13,6,Huskur Road,21,21.4,90,1.3,5.4,1010.2,7,9.0,Wednesday,0,0,0,1,0,0,0.0,0.0,0.0,17.0,,79.0,5.25,3.0,79.12,2,8,1.0,6.123233995736766e-17
